State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Annual_Rainfall
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0,2763.2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,31863.0,2763.2
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0,3080.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,27033.0,3080.9
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,Rice,10695.8,31600.82,2620.2
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17,2355.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,10509.37,30760.7,2355.9
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57,2460.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,Rice,10681.98,29119.66,2460.1
Andaman and Nicobar Islands,NICOBARS,2005,Kharif,Rice,2.09,12.06,2954.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,Rice,8683.38,25870.98,2954.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62,2404.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,Rice,921.87,2539.64,2404.7
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10.0,3157.1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791.0,20118.0,3157.1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Groundnut,4.75,6.8,3157.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Rice,1595.5,3788.0,3157.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Groundnut,15.5,7.6,3157.1
Andhra Pradesh,ANANTAPUR,1997,Kharif,Bajra,1400.0,500.0,972.1
Andhra Pradesh,ANANTAPUR,1997,Kharif,Cotton(lint),7300.0,9400.0,972.1
Andhra Pradesh,ANANTAPUR,1997,Kharif,Groundnut,650800.0,228400.0,972.1
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600.0,75400.0,972.1
Andhra Pradesh,ANANTAPUR,1997,Rabi,Groundnut,20200.0,21700.0,972.1
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000.0,37300.0,972.1
Andhra Pradesh,ANANTAPUR,1997,Rabi,Wheat,300.0,200.0,972.1
Andhra Pradesh,CHITTOOR,1997,Kharif,Bajra,1700.0,1900.0,972.1
Andhra Pradesh,CHITTOOR,1997,Kharif,Groundnut,234900.0,144200.0,972.1
Andhra Pradesh,CHITTOOR,1997,Kharif,Rice,42300.0,84400.0,972.1
Andhra Pradesh,CHITTOOR,1997,Rabi,Groundnut,28300.0,69800.0,972.1
